Series	Categories	Values	Category_Num
gsk	Czib	-0.07446186291342258	1026
oAB-gsk	Czib	0.3350835810394161	1026
oAB-gsk	Czib	0.28061126948464676	1026
oAB-gsk	Czib	0.42662129368999335	1026
veh	D3Ertd751e	-0.022865977944945895	1027
veh	D3Ertd751e	0.017271539904506632	1027
veh	D3Ertd751e	0.03217170724690568	1027
oAB	D3Ertd751e	-0.20319309110927328	1027
oAB	D3Ertd751e	0.1047614023221082	1027
oAB	D3Ertd751e	-0.7741771728574487	1027
gsk	D3Ertd751e	0.06342652284012168	1027
gsk	D3Ertd751e	0.10601289384522673	1027
gsk	D3Ertd751e	-0.027266912060845583	1027
oAB-gsk	D3Ertd751e	0.21376713348057141	1027
oAB-gsk	D3Ertd751e	0.03131986248702048	1027
oAB-gsk	D3Ertd751e	0.22582282714255122	1027
veh	D6Wsu163e	0.2602216034673308	1028
veh	D6Wsu163e	-0.027543510748904706	1028
veh	D6Wsu163e	0.1324606736299268	1028
oAB	D6Wsu163e	-0.0590305351399443	1028
oAB	D6Wsu163e	0.022496777560943756	1028
oAB	D6Wsu163e	0.09007532365785101	1028
gsk	D6Wsu163e	-0.09852043878335484	1028
gsk	D6Wsu163e	-0.22863652403351825	1028
gsk	D6Wsu163e	-0.15632290683465505	1028
oAB-gsk	D6Wsu163e	-0.5525535375173153	1028
oAB-gsk	D6Wsu163e	0.44744646248268477	1028
oAB-gsk	D6Wsu163e	0.019020046160904944	1028
veh	Daam1	-0.14279133607052702	1029
veh	Daam1	0.11515962054587514	1029
veh	Daam1	0.19619681089106344	1029
oAB	Daam1	-0.4698354004971091	1029
oAB	Daam1	0.24904237586242622	1029
oAB	Daam1	-0.28076527757864733	1029
gsk	Daam1	0.4027989570661858	1029
gsk	Daam1	0.17991843175000918	1029
gsk	Daam1	0.4710232772460841	1029
oAB-gsk	Daam1	-0.5289767227539159	1029
oAB-gsk	Daam1	-0.32266907035220127	1029
oAB-gsk	Daam1	-0.03318539686042761	1029
veh	Daam2	0.0064690973331633615	1030
veh	Daam2	0.06632497648289079	1030
veh	Daam2	0.02511375461538805	1030
oAB	Daam2	-0.1371710698005564	1030
oAB	Daam2	-0.45208343764386144	1030
oAB	Daam2	0.06316588574578844	1030
gsk	Daam2	0.312881131958519	1030
gsk	Daam2	0.20648148003778533	1030
gsk	Daam2	0.5478666559410843	1030
oAB-gsk	Daam2	-0.45213334405891564	1030
oAB-gsk	Daam2	0.06993840724891874	1030
oAB-gsk	Daam2	-0.3930429633075398	1030
veh	Dab2	-0.2400256353268148	1031
veh	Dab2	0.689601624335514	1031
veh	Dab2	0.336531923455839	1031
oAB	Dab2	0.10718269471785576	1031
oAB	Dab2	-0.2155520940543591	1031
oAB	Dab2	-0.31039837566448597	1031
gsk	Dab2	-0.1423211699954779	1031
gsk	Dab2	-0.010014302515688139	1031
gsk	Dab2	-0.1284359111985444	1031
oAB-gsk	Dab2	-0.13592473665738933	1031
oAB-gsk	Dab2	-0.16044785544749637	1031
oAB-gsk	Dab2	0.09683196464484066	1031
veh	Dab2ip	-0.05835074447011251	1032
veh	Dab2ip	-0.41593068426276314	1032
veh	Dab2ip	-0.2884724651727772	1032
oAB	Dab2ip	-0.1843399281087099	1032
oAB	Dab2ip	0.20570374323197968	1032
oAB	Dab2ip	0.15500503664365947	1032
gsk	Dab2ip	0.584069315737237	1032
gsk	Dab2ip	0.20745206913323638	1032
gsk	Dab2ip	-0.13178065952462883	1032
oAB-gsk	Dab2ip	0.06725698539540355	1032
oAB-gsk	Dab2ip	-0.013772780677145763	1032
oAB-gsk	Dab2ip	-0.07347921044839774	1032
veh	Dad1	0.08457989674079967	1033
veh	Dad1	-0.0979007177244188	1033
veh	Dad1	-0.024717287293634895	1033
oAB	Dad1	-0.05071677297741131	1033
oAB	Dad1	-0.075499182299133	1033
oAB	Dad1	-0.4742857595298986	1033
gsk	Dad1	-0.387039788633624	1033
gsk	Dad1	0.3868948369757699	1033
gsk	Dad1	-0.09187293776045592	1033
oAB-gsk	Dad1	0.17652827881479763	1033
oAB-gsk	Dad1	0.15885743571952451	1033
oAB-gsk	Dad1	0.5257142404701014	1033
veh	Dag1	0.10385909192899821	1034
veh	Dag1	0.10343463606476096	1034
veh	Dag1	-0.006335500226152376	1034
oAB	Dag1	0.31740441609650627	1034
oAB	Dag1	-0.5993508913870443	1034
oAB	Dag1	-0.18044371787044655	1034
gsk	Dag1	0.02482037241754984	1034
gsk	Dag1	0.4006491086129557	1034
gsk	Dag1	-0.15479201896160802	1034
oAB-gsk	Dag1	0.24671370770257237	1034
oAB-gsk	Dag1	-0.14577437477417632	1034
oAB-gsk	Dag1	0.19293359632559473	1034
